Id,Average
10473,9.176570418
10474,9.08018325
10475,9.020728841
10476,8.909317569
10477,8.870530186
10478,8.78703216
10479,8.701954457
10480,8.565921586
10481,8.124243486
10482,7.525907162
10483,7.10243835
10484,5.905818515
10485,7.64832313
10486,5.470362992
10487,4.152931035
10488,4.538148137
10489,4.752214222
10490,4.967911567
10491,4.037425568
10492,2.892368854
10493,1.947994669
10494,2.828839621
10495,2.408118914
10496,2.880480219
10497,2.939347108
10498,2.784531417
10499,3.265875302
10500,3.447071491
10501,3.788596337
10502,4.413237034
10503,4.741279249
10504,4.039166981
10505,3.969322368
10506,3.697439385
10507,3.84431223
10508,4.046907184
10509,3.800195041
10510,4.097875101
10511,4.294748163
10512,4.897596915
10513,4.471374965
10514,4.513971613
10515,4.626348268
10516,5.462669452
10517,4.647364355
10518,4.381400352
10519,5.728078178
10520,4.300282816
10521,4.525731067
10522,4.033673192
10523,4.081846939
10524,3.858158764
10525,4.269657409
10526,3.872784512
10527,3.89456938
10528,4.6850829
10529,7.406277663
10530,7.148047474
10531,1.459896208
10532,5.500188766
10533,5.454387792
10534,4.494648379
10535,4.123507241
10536,4.393953159
10537,4.659106331
10538,5.41478998
10539,5.462440182
10540,6.3973874
10541,5.241627941
10709,8.984455736
10710,8.930372679
10711,8.839458101
10712,8.723988019
10713,8.659366036
10714,8.561239759
10715,8.504529483
10716,8.273746346
10717,7.857445499
10718,7.147564391
10719,7.392519549
10720,7.374979534
10721,5.902921643
10722,4.852518787
10723,5.011304739
10724,4.031784524
10725,3.772756662
10726,4.226789826
10727,3.972991595
10728,3.302043132
10729,2.896841221
10730,2.27245903
10731,1.886642044
10732,2.025635307
10733,2.069458671
10734,3.112614012
10735,3.586294058
10736,4.104472641
10737,4.229495453
10738,4.454000271
10739,4.789192942
10740,4.027558654
10741,4.030288417
10742,3.611293954
10743,3.652378366
10744,3.733749476
10745,3.600603966
10746,4.156942124
10747,4.618129281
10748,4.163633642
10749,4.220718781
10750,4.233003575
10751,4.129726613
10752,4.845051124
10753,5.00351188
10754,4.821476014
10755,4.618166746
10756,4.287532756
10757,4.273699321
10758,4.341527535
10759,4.736136735
10760,-34.9500729
10761,4.027090194
10762,4.182230484
10763,6.6399363
10764,7.33159104
10765,7.582112757
10766,6.745649336
10767,6.168222777
10768,5.069081849
10769,5.015763476
10770,4.558736863
10771,3.803157924
10772,4.398961737
10773,4.957489507
10774,5.18684942
10775,6.916255891
10776,5.935933261
10777,3.180032256
10945,8.758226502
10946,8.713469991
10947,8.61145651
10948,8.546506841
10949,8.415995533
10950,8.349173918
10951,8.398602126
10952,8.091931447
10953,7.528453313
10954,7.27046885
10955,5.279409089
10956,7.462005668
10957,5.71601729
10958,5.390552188
10959,4.713735735
10960,4.071431422
10961,3.885370002
10962,3.191611186
10963,2.98704914
10964,2.779010456
10965,2.766023476
10966,2.390336117
10967,2.472480316
10968,2.337628178
10969,2.656952431
10970,3.5280153
10971,4.368202517
10972,4.234900138
10973,4.125819759
10974,3.980416174
10975,4.097091121
10976,3.71327281
10977,3.354518062
10978,3.241580721
10979,3.108500253
10980,3.870274775
10981,3.845602804
10982,4.192342177
10983,3.808176121
10984,4.268658543
10985,4.290326873
10986,3.936745985
10987,4.420797548
10988,4.300072353
10989,14.26476877
10990,7.256144827
10991,7.011765939
10992,6.552143385
10993,5.039033722
10994,4.90491462
10995,6.585846854
10996,4.774031369
10997,4.572517126
10998,7.1486228
10999,7.87332216
11000,7.699227887
11001,7.102433203
11002,6.454323647
11003,5.446667076
11004,2.829801999
11005,4.685264236
11006,5.44287705
11007,6.085992763
11008,6.260117465
11009,4.687089532
11010,-5277.734684
11011,6.083631879
11012,3.614831369
11013,1.414507005
11181,8.508384261
11182,8.458993567
11183,8.378260172
11184,8.292853931
11185,8.167366849
11186,8.133177233
11187,8.100577712
11188,7.782669955
11189,5.593412374
11190,5.529642238
11191,7.055622251
11192,7.691222535
11193,5.228250691
11194,4.521938394
11195,5.248969424
